Municipality_code;Municipality_name;Inhabitants_1-1-2020
1586;Oost Gelre;29627
1598;Koggenland;22749
1621;Lansingerland;62384
1640;Leudal;35879
1641;Maasgouw;23965
1652;Gemert-Bakel;30723
1655;Halderberge;30284
1658;Heeze-Leende;16152
1659;Laarbeek;22523
1667;Reusel-De Mierden;13112
1669;Roerdalen;20574
1674;Roosendaal;77251
1676;Schouwen-Duiveland;33839
1680;Aa en Hunze;25445
1681;Borger-Odoorn;25559
1684;Cuijk;25130
1685;Landerd;15730
1690;De Wolden;24330
1695;Noord-Beveland;7392
1696;Wijdemeren;24358
1699;Noordenveld;31253
1700;Twenterand;33743
1701;Westerveld;19460
1702;Sint Anthonis;11664
1705;Lingewaard;46601
1706;Cranendonck;21138
1708;Steenwijkerland;44126
1709;Moerdijk;37129
1711;Echt-Susteren;31610
1714;Sluis;23210
1719;Drimmelen;27272
1721;Bernheze;31240
1723;Alphen-Chaam;10203
1724;Bergeijk;18635
1728;Bladel;20390
1729;Gulpen-Wittem;14171
1730;Tynaarlo;33887
1731;Midden-Drenthe;33185
1734;Overbetuwe;47906
1735;Hof van Twente;35017
1740;Neder-Betuwe;24339
1742;Rijssen-Holten;38177
1771;Geldrop-Mierlo;39726
1773;Olst-Wijhe;18252
1774;Dinkelland;26461
1783;Westland;110375
1842;Midden-Delfland;19341
1859;Berkelland;43747
1876;Bronckhorst;36055
1883;Sittard-Geleen;92429
1884;Kaag en Braassem;27297
1891;Dantumadiel;18922
1892;Zuidplas;43885
1894;Peel en Maas;43425
1895;Oldambt;38209
1896;Zwartewaterland;22685
1900;Súdwest-Fryslân;89987
1901;Bodegraven-Reeuwijk;34872
1903;Eijsden-Margraten;25768
1904;Stichtse Vecht;64931
1911;Hollands Kroon;48432
1916;Leidschendam-Voorburg;76534
1924;Goeree-Overflakkee;50049
1926;Pijnacker-Nootdorp;55308
1930;Nissewaard;85219
1931;Krimpenerwaard;56319
1940;De Fryske Marren;51564
1942;Gooise Meren;58055
1945;Berg en Dal;34992
1948;Meierijstad;81194
1949;Waadhoeke;46090
1950;Westerwolde;25733
1952;Midden-Groningen;60797
1954;Beekdaelen;35938
1955;Montferland;36011
1959;Altena;55967
1960;West Betuwe;51128
1961;Vijfheerenlanden;56811
1963;Hoeksche Waard;87401
1966;Het Hogeland;47801
1969;Westerkwartier;63329
1970;Noardeast-Fryslân;45228
1978;Molenlanden;43909
